SampleNumber	MillisecondsSincePowerUp	LeftRawVoltageValue	RightRawVoltageValue	LeftCalibratedForceValue	RightCalibratedForceValue
125996	6299800	0.009	-0.006	0.0189	-0.0126
125997	6299850	0.009	-0.006	0.0189	-0.0126
125998	6299900	0.006	-0.006	0.0126	-0.0126
125999	6299950	0.007	-0.007	0.0147	-0.0147
126000	6300000	0.008	-0.008	0.0168	-0.0168
126001	6300050	0.01	-0.008	0.021	-0.0168
126002	6300100	0.01	-0.007	0.021	-0.0147
126003	6300150	0.01	-0.008	0.021	-0.0168
126004	6300200	0.009	-0.008	0.0189	-0.0168
126005	6300250	0.008	-0.008	0.0168	-0.0168
126006	6300300	0.007	-0.007	0.0147	-0.0147
126007	6300350	0.007	-0.006	0.0147	-0.0126
126008	6300400	0.009	-0.006	0.0189	-0.0126
126009	6300450	0.01	-0.007	0.021	-0.0147
126010	6300500	0.008	-0.008	0.0168	-0.0168
126011	6300550	0.009	-0.007	0.0189	-0.0147
126012	6300600	0.008	-0.008	0.0168	-0.0168
126013	6300650	0.008	-0.008	0.0168	-0.0168
126014	6300700	0.007	-0.008	0.0147	-0.0168
126015	6300750	0.007	-0.007	0.0147	-0.0147
126016	6300800	0.009	-0.007	0.0189	-0.0147
126017	6300850	0.007	-0.006	0.0147	-0.0126
126018	6300900	0.008	-0.007	0.0168	-0.0147
126019	6300950	0.008	-0.007	0.0168	-0.0147
126020	6301000	0.006	-0.006	0.0126	-0.0126
126021	6301050	0.007	-0.007	0.0147	-0.0147
126022	6301100	0.009	-0.007	0.0189	-0.0147
126023	6301150	0.008	-0.007	0.0168	-0.0147
126024	6301200	0.008	-0.01	0.0168	-0.021
126025	6301250	0.01	-0.011	0.021	-0.0231
126026	6301300	0.011	-0.011	0.0231	-0.0231
126027	6301350	0.009	-0.012	0.0189	-0.0252
126028	6301400	0.009	-0.011	0.0189	-0.0231
126029	6301450	0.008	-0.008	0.0168	-0.0168
126030	6301500	0.008	-0.006	0.0168	-0.0126
126031	6301550	0.008	-0.006	0.0168	-0.0126
126032	6301600	0.007	-0.005	0.0147	-0.0105
126033	6301650	0.006	-0.006	0.0126	-0.0126
126034	6301700	0.007	-0.006	0.0147	-0.0126
126035	6301750	0.008	-0.006	0.0168	-0.0126
126036	6301800	0.009	-0.008	0.0189	-0.0168
126037	6301850	0.008	-0.008	0.0168	-0.0168
126038	6301900	0.007	-0.006	0.0147	-0.0126
126039	6301950	0.008	-0.007	0.0168	-0.0147
126040	6302000	0.008	-0.007	0.0168	-0.0147
126041	6302050	0.008	-0.006	0.0168	-0.0126
126042	6302100	0.011	-0.003	0.0231	-0.0063
126043	6302150	0.011	-0.004	0.0231	-0.0084
126044	6302200	0.01	-0.006	0.021	-0.0126
126045	6302250	0.009	-0.007	0.0189	-0.0147
126046	6302300	0.007	-0.01	0.0147	-0.021
126047	6302350	0.006	-0.01	0.0126	-0.021
126048	6302400	0.008	-0.012	0.0168	-0.0252
126049	6302450	0.007	-0.012	0.0147	-0.0252
126050	6302500	0.007	-0.011	0.0147	-0.0231
126051	6302550	0.013	-0.012	0.0273	-0.0252
126052	6302600	0.014	-0.014	0.0294	-0.0294
126053	6302650	0.014	-0.014	0.0294	-0.0294
126054	6302700	0.013	-0.015	0.0273	-0.0315
126055	6302750	0.013	-0.014	0.0273	-0.0294
126056	6302800	0.013	-0.015	0.0273	-0.0315
126057	6302850	0.013	-0.015	0.0273	-0.0315
126058	6302900	0.014	-0.014	0.0294	-0.0294
126059	6302950	0.015	-0.014	0.0315	-0.0294
126060	6303000	0.015	-0.013	0.0315	-0.0273
126061	6303050	0.016	-0.013	0.0336	-0.0273
126062	6303100	0.015	-0.011	0.0315	-0.0231
126063	6303150	0.014	-0.011	0.0294	-0.0231
126064	6303200	0.011	-0.017	0.0231	-0.0357
126065	6303250	0.01	-0.019	0.021	-0.0399
126066	6303300	0.013	-0.016	0.0273	-0.0336
126067	6303350	0.014	-0.01	0.0294	-0.021
126068	6303400	0.015	-0.01	0.0315	-0.021
126069	6303450	0.014	-0.011	0.0294	-0.0231
126070	6303500	0.013	-0.012	0.0273	-0.0252
126071	6303550	0.013	-0.012	0.0273	-0.0252
126072	6303600	0.013	-0.013	0.0273	-0.0273
126073	6303650	0.013	-0.014	0.0273	-0.0294
126074	6303700	0.013	-0.014	0.0273	-0.0294
126075	6303750	0.014	-0.012	0.0294	-0.0252
126076	6303800	0.014	-0.012	0.0294	-0.0252
126077	6303850	0.012	-0.012	0.0252	-0.0252
126078	6303900	0.012	-0.013	0.0252	-0.0273
126079	6303950	0.012	-0.013	0.0252	-0.0273
126080	6304000	0.013	-0.014	0.0273	-0.0294
126081	6304050	0.014	-0.015	0.0294	-0.0315
126082	6304100	0.015	-0.013	0.0315	-0.0273
126083	6304150	0.013	-0.013	0.0273	-0.0273
126084	6304200	0.013	-0.013	0.0273	-0.0273
126085	6304250	0.014	-0.014	0.0294	-0.0294
126086	6304300	0.014	-0.013	0.0294	-0.0273
126087	6304350	0.013	-0.012	0.0273	-0.0252
126088	6304400	0.013	-0.013	0.0273	-0.0273
126089	6304450	0.013	-0.013	0.0273	-0.0273
126090	6304500	0.014	-0.013	0.0294	-0.0273
